Title,Description,Status,Category,Location,ID
Bordsräknare,"MP120-MG, gör valutaomvandling. Inbyggd skrivare.",Tested,Nostalgia,C01,2023_00000
heavy-duty låda,Stor tom låda för transport,Tested,Miscellaneous,B01,2023_00001
Spectrumanalysator Hp3580A,"Kortsluten, ej testad",Untested,Instrument,C01,2023_00002
13.5V 5A power supply,"Ascom Tateco art. no. 130051, type 7410. Går på 230V",Tested,Power supply,B01,2023_00004
12V 5A powersupply,mascot 12V 5A powersupply made in sweden/norway,Tested,Power supply,B01,2023_00005
Cisco AP,,Lights up,Gerät,C01,2023_00006
trafo 36V 8.3A,Från 230V AC,Tested,Power supply,C01,2023_00007
Osram spotlight,Video 1000 profi spotlight,Lights up,Miscellaneous,C01,2023_00008
Nätaggregat,"12.5V, 4A. asomTateco.",Tested,Power supply,C01,2023_00009
Kuddehögtalare,Låter inte värst högt eller bra...,Tested,Audio,C01,2023_00010
23stX9M CAT6 kabel,oterminerad,Untested,Miscellaneous,A01,2023_00011
Noratel 1-phase transformer,"art.no: 41262-918
Primary: 230v, 1.4A
Secondary: 36v, 8.3A",Tested,Instrument,C01,2023_00012
Fläkt koldioxid mätare,Komplett med nätaggregat och fin väska,Tested,Instrument,B01,2023_00013
FEEDBACK Microwave trainer MWT530 kit,"Kit med enhet och tillbehör, vågledare, bnc kablar och annat blandat. ",Lights up,Instrument,A01,2023_00014
FEEDBACK Microwave trainer MWT530 kit,"Kit med enhet och tillbehör, vågledare, bnc kablar och annat blandat. ",Lights up,Instrument,A01,2023_00015
Värmelampa,"TERM 2000 QUARTZ HEAT, 2000W
Modell: URCA 200V
",Tested,Miscellaneous,B01,2023_00016
Automatisk lödtennsmatare,"Soldering machine HCT-80
Matar och smälter lödtenn automatiskt",Tested,Miscellaneous,C01,2023_00017
Funktionsgenerator Topward 8112,"Rejäl bruston på ~14MHz, funkar annars. 0-1MHz",Tested,Instrument,C01,2023_00018
Label printer,"Brady BBP11-34L. Tar USB, ethernet och parallell och seriell",Untested,Gerät,B01,2023_00019
CAT-6 Patchpanel,8 portar CAT-6,Tested,Gerät,B01,2023_00020
Serial port Bluetooth adapter,"ConnectBlue OEM Serial Port adapter 13i Complete
Med serial kabel, strömadapter, adapter, drivrutiner.",Untested,Miscellaneous,C01,2023_00021
Virtex-6 FPGA ML605,FPGA evaluation kit,Untested,Gerät,C01,2023_00022
Funktionsgenerator Topward 8110,"0-200MHz, sin, triangel och fyrkant. ",Tested,Instrument,B01,2023_00023
Handhållen Multimeter,"Tenma 72-7730
Osäker AC mätning",Tested,Instrument,B01,2023_00024
Fluke 45,"Fungerande multimeter.
""Lite"" externa skador",Tested,Instrument,A01,2023_00025
xilinx spartan xc3s1000,PCIe dev kort,Untested,Computer,C01,2023_00026
Altera Cyclone 2,Dev kort,Untested,Gerät,C01,2023_00027
Power Supply,"ITT instruments AX322
Upp till 30V",Tested,Instrument,B01,2023_00028
Funktionsgenerator,Topward Function Generator 8110,Tested,Instrument,B01,2023_00029
Xilinx Spartan 3,Dev kort,Untested,Gerät,C01,2023_00030
Power supply 2x 30V 2.5A,ITT instruments AX 322 meteix,Tested,Instrument,B01,2023_00031
Elmotor,"HK Motor Co. MY1016 24V300W
Rated speed: 2750RPM
Rated current 17A",Tested,Miscellaneous,C01,2023_00032
Home charger ,"Garo homecharger GHC-HC7 GE CE 1F-32-P-T2
Output: 230V+/-23V: 16A",Untested,Miscellaneous,A01,2023_00033
Biltema lampa + rörelsedetektor,500W. Ej terminerad strömkabel,Untested,Gerät,C01,2023_00034
Custom låda,"Knappar, relän, in/uttag",Untested,Miscellaneous,C01,2023_00035
Luxor Radio - 1960,Otestad Hemmaradio från 1960,Untested,Nostalgia,C01,2023_00036
Custom låda ,"Knappar, relän, in/uttag",Untested,Miscellaneous,C01,2023_00037
Rampgenerator Metric,"3MHz, flerformig. 10us-10s ramptid",Tested,Instrument,B01,2023_00038
Fingeravtrycksläsare xb5s2b2l2,tillverkare: Schneider,Tested,Component,C01,2023_00039
2x Fingeravtrycksläsare xb5s2b2l2,2st fingeravtrycksläsare tillverkare: Schneider,Tested,Component,C01,2023_00040
"Enfas fulltransformator 24V, 14.6A",Typ: ES 35022,Untested,Power supply,C01,2023_00041
Bordsskanner Brother,"Brother ADS-2800W. Wi-fi, usb, ethernet",Untested,Gerät,B01,2023_00042
Likriktare,Typ PVL 120,Untested,Power supply,C01,2023_00043
Brooks mass flow controller 5850E,"Brooks Mass flow controller 5850 E-series

Fluid N2
Range: 0-5 1n/min
Op. Press: 4bar
Max. Press: 100bar
Op. Temp: 20 C",Untested,Gerät,C01,2023_00044
"Oscilloskop analogt, 60MHz",Tektronix TAS 455,Tested,Instrument,A01,2023_00045
Transformator 24V,"IN: 220V ~ 50Hz
UT: 24-30V=5A",Untested,Power supply,C01,2023_00046
Bilbatteri,"12V, 2Ah",Tested,Gerät,C01,2023_00047
Power supply ,"+/-5V, 12V",Tested,Power supply,C01,2023_00048
60MHz Oscilloskop ,Tecktronix 2212,Tested,Instrument,A01,2023_00049
Analogt oscilloskop 20MHz,Siemens D1011. Skärmen blinkar vid snabbare tidsskalor,Tested,Instrument,C01,2023_00050
Oscilloscop,Oscillarzet D 1011 20MHz,Tested,Instrument,B01,2023_00051
Oscilloskop 60MHz,"Tecktronix TAS 455 60MHz, two channel",Tested,Instrument,A01,2023_00052
Bestway enkel luftmadrass,"1.85m x 76cm, inköpt och donerad av ordförande",Oöppnad,Miscellaneous,B01,2023_00053
Outdoor surge protector för POE,,Untested,Component,C01,2023_00054
Nätaggregat ,Trivolt PK-55 5V/5A +- 10-15V/1A,Untested,Power supply,B01,2023_00055
Tung trafo ,"380V prim, 24V/35.5A sek ",Untested,Power supply,C01,2023_00056
Transformator,14V,Tested,Power supply,C01,2023_00057
Spänningsomvandlare,230v till 100v 2A,Tested,Power supply,C01,2023_00058
Nätaggregat ,Trivolt PK110. 5V/10A +/- 12V-15V/2A. ,Untested,Power supply,B01,2023_00059
Enfastransformator,220V prim - 110V/5A sek. Låter härligt när den är inkopplad,Tested,Power supply,C01,2023_00060
Transformator,PVS 220,Untested,Power supply,C01,2023_00061
Nätaggregat ,Trivolt Pk110. 5V/10A +/- 12V-15V/2A,Untested,Power supply,B01,2023_00062
Nätaggregat,"Trivolt PK 55
5V/5A, ± 5-15V/1A",Untested,Power supply,C01,2023_00063
Nätaggregat ,PK50 Monovolt. 5V/10A,Untested,Power supply,B01,2023_00064
Transformator 6V,"230V prim, 6V/16.7A sek",Tested,Component,C01,2023_00065
Nätaggregat ,"Trivolt PK 60, Vero 116-10018J",Untested,Power supply,C01,2023_00066
Skyddstransformator,"1 fas
50Hz
PVS 48",Untested,Power supply,C01,2023_00067
multilog DB-526 universialmätare,"Har prober för mätning av temperatur (TMP), tryck (PRS), koldioxid, pH värde (pH, fortfarande blöt), Ljus? (LIT) och luftfuktighet (RH). Serial port. Verkar vara nyskick.",Untested,Instrument,A01,2023_00068
Skyddstransformator,"50-60Hz
PVS 48",Untested,Power supply,C01,2023_00069
Skyddstransformator ,"1 fas
50hz
PVS 48",Untested,Power supply,C01,2023_00070
Chipdrive smart card läsare,Kör RS232,Untested,Gerät,C01,2023_00071
HP PDU,"Fet enfas ingång, går ut till 4 kontakter.
3 grendosor medföljer.",Untested,Miscellaneous,B01,2023_00072
Funktionsgenerator FG1201,2MHz. Lite funky signalform.,Tested,Instrument,B01,2023_00073
HP PDU,"Fet enfas kabel in, 4 kontakter ut. 3 grendosor medföljer.
Ingång har ingen kontakt! (tar 32A max) ",Untested,Gerät,B01,2023_00074
Testutrustning för ventilation,,Lights up,Instrument,C01,2023_00075
2x 24V till 12V linjär DC-DC,Uppmätt c.a. 14V vid 1A,Tested,Power supply,C01,2023_00076
Skruvdragare,Har 2 batterier och laddare. Batteriladdare lyser,Lights up,Gerät,C01,2023_00077
Skjutmått,,Tested,Miscellaneous,C01,2023_00078
XY-plotter,"HP 7044B, 38x25cm. Ingår pennor. Ritar fint. Kan ändra range, från 0.25mV till 5V/cm",Tested,Instrument,A01,2023_00079
Gang Programmer,,Lights up,Instrument,C01,2023_00080
Lantmäteri-kikare,"Variabelt fokus, vinkelskiva. Kalibrerad 2005?",Tested,Instrument,A01,2023_00081
wideband rf power amplifier,"Frekvensområde 0,5 till 1000 Mhz",Untested,Radio,B01,2023_00082
frekvensräknare,,Tested,Instrument,C01,2023_00084
VNA Kalibreringskit TRL,ETA fynd,Tested,Radio,C01,2023_00085
TI Analog Evaluation Module,THS1206M evaluation module,Untested,Miscellaneous,C01,2023_00086
wideband rf poer amplifier,"6 watt 0,5 - 1000Mhz 36dB",Untested,Radio,B01,2023_00087
Sand  <2kg,"Chinchilla badsand

Står två kilo men troligtvis mindre ",Tested,Miscellaneous,C01,2023_00088
in circuit emulator,,Untested,Gerät,C01,2023_00089
Precision antennas,"point to point antenner. 
Type: L0621SHP/08
21,1-23,6GHz
S/N06082665
",Untested,Radio,Ap2p,2023_00090
mikrodator,kommer med massor av manualer,Untested,Nostalgia,C01,2023_00091
UV mätare,extern prob medföljer,Tested,Instrument,A01,2023_00092
UV EPROM Ereaser,"Strålar UVC, har timer som verkar fungera. Strålning fungerar.",Tested,Gerät,B01,2023_00093
Dynamic Signal Analyzer,HP3561A 0-100kHz,Tested,Instrument,A01,2023_00094
Pitchometer,"Higher watts. Vernier-skala, borde kunna mäta 0.1 grader.",Tested,Instrument,B01,2023_00095
