Title,Description,Status,Category,Location,ID
HP Proliant 380 G4,"Bootar upp till inloggning, innehåller 2x 3.8GHz processorer, 3GB DDR2 RAM, 6x 78GB diskar",Working,Computer,A3,20200005
Onkyo cp-1022A venylspelare,Fint kostmetiskt skick med lock intakt. Motorn verkar gå igång men snurrbordet roterar inte.,Not working,Nostalgia,A3,20200006
HP8616A signal generator,1.8 - 4.5 GHz,Not tested,Instrument,A1,20200008
Tektronix type 114 pulse generator,"Pulsbredd från 100nS till 10mS, säljes otestad eftersom att det är en gammal aparatkontakt och det saknas tillhörande sladd",Not tested,Instrument,A1,20200009
Hp 8656B signal generator,"0,1-990MHz med inbyggd modelator, Test innefattar Modulation och signal generation, okalibrerad men funkar i övrigt",Working,Instrument,A1,20200010
Skrivare,HP envy 5544,Working,Computer,A2,20200012
Ernst Leitz GMBH Wetzlar Konstanthalter 301-167.001,Strömkälla,Lights up,Gerät,A1,20200014
Microwave Leakage Tester,Simpson model 380. Batteri OK. Funktion osäker,Lights up,Instrument,A1,20200016
Simpson 380 microwave leakage tester,"EM-mätare, batteri OK, funktion osäker",Lights up,Instrument,A1,20200016
Suant LCD video projektor,18W HDMI,Working,Computer,A2,20200019
SATA disktestare ,"Zsolo10-12267 RMA Ny i kartong med ""instruktioner"" och tillbehör",Working,Computer,A2,20200020
Control module,Ingen beskrivning,Not tested,Miscellaneous,A2,20200021
Gamingdator Taurus,Intel Pentium 63258 @ 3.2 GHz. 8 GB ram. MSI 650 grafikkort.,Working,Computer,A3,20200023
Olympus DP11-P U-CMAD-2 U-TV1 X,Vetenskaplig kamera med tillbehör,Not tested,Instrument,A3,20200024
Ohmite 1 ohm reostater,"600V isolerade 22,3A max, 2 stycken, potentiometerkonfiguration på polerna",Working,Gerät,A2,20200026
HP Enterprise Proliant MicroServer Ges 10,"1st 1TB BarraCuda, i låda inklusive tillbehör",Working,Computer,A2,20200028
Yashica 8PE-Dual Film Editor,Film Editor för 8mm film. Lampa lyser. Shutter funkar. Ingen film inkluderad.,Working,Nostalgia,A3,20200033
YFE YF-206 analog multimeter,Liten analog multimeter med fodral. Ger ok. utslag vid mätning av DC spänning. I övrigt otestad.,Other,Instrument,A3,20200037
Kinect for Windows v2. Modell nummer 1656. Oanvänt med skyddsplasten kvar på samtliga tillbehör.,,Other,Computer,A3,20200038
Skakande behållare för frammatning,"Skakande behållare för att mata fram sand, grus eller till och med lego. Modell Skako 1D",Working,Gerät,A3,20200041
Olympus U-SRG Circular Rotating Stage,,Working,Miscellaneous,A3,20200042
Dakota Scout kvm switch,"Switch för att koppla ett set mus, tangentbord och skärm till upp till fyra datorer. 2x PS2 + VGA kontakt för varje dator samt användaren. Ej testad",Not tested,Gerät,A3,20200045
Synology DS1815 NAS/Server,plus 1 disk. 8 slots,Not working,Computer,A2,20200053
Miniralight,Ultra violet lamp 110V 60Hz + kritor,Not tested,Miscellaneous,A1,20200054
"Högspännings nätaggeregat, KNOTT elektronik","NSHM BN 600 S/N 566 Knott elektronik, Ger ut spänning upp tll 1kV (har inte mätinstrument som klarar högre) galvanometern funkar inte och det står en lapp som varnar för max 1.3kV, osäker på om det är från föregåene mätuppsättning eller instrumentet som inte klarar mer. Hämtades från övergivet labb.",Lights up,Instrument,A1,20200055
Mätklocka,Mitutoyo 2046. 2 stycken,Working,Instrument,A2,20200056
Power macintosh 6100/60,Power PC. Lyser och spelar en trudelutt. GPIB utgång,Lights up,Computer,A2,20200057
Atheros AR9271 Wireless Network Adapter,Trådlös Nätverksadapter,Lights up,Computer,A1,20200058
